"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","1","ATSAMD21G18A-MU","ATSAMD21G18A-MU","IC MCU 32BIT 256KB FLASH 48QFN","","0","3.09000","$3.09"
"2","1","3220-10-0300-00","3220-10-0300-00","IDC BOX HEADER 0.050 10 POS","","0","0.61000","$0.61"
"3","1","X9313ZSZ","X9313ZSZ","IC XDCP 32-TAP 1K 3-WIRE 8-SOIC","","0","3.60000","$3.60"
"4","1","S2B-PH-SM4-TB(LF)(SN)","S2B-PH-SM4-TB(LF)(SN)","CONN HEADER PH SIDE 2POS 2MM SMD","","0","0.58000","$0.58"
"5","1","10118194-0001LF","10118194-0001LF","CONN USB MICRO B RECPT SMT R/A","","0","0.42000","$0.42"
"6","1","MCP73831T-2ACI/OT","MCP73831T-2ACI/OT","IC CONTROLLR LI-ION 4.2V SOT23-5","","0","0.59000","$0.59"
"7","1","AP2112K-3.3TRG1","AP2112K-3.3TRG1","IC REG LINEAR 3.3V 600MA SOT25","","0","0.48000","$0.48"
"8","1","MBR120LSFT3G","MBR120LSFT3G","DIODE SCHOTTKY 20V 1A SOD123L","","0","0.43000","$0.43"
"9","1","KMR231NG LFS","KMR231NG LFS","SWITCH TACTILE SPST-NO 0.05A 32V","","0","0.52000","$0.52"
"10","2","MMBT2222LT1G","MMBT2222LT1G","TRANS NPN 30V 0.6A SOT23","","0","0.13000","$0.26"
"11","1","XZMOK54W-1","XZMOK54W-1","LED ORANGE CLEAR 0805 SMD","","0","0.44000","$0.44"
"12","1","XZCBD54W-1","XZCBD54W-1","LED BLUE CLEAR 0805 SMD","","0","0.50000","$0.50"
"13","2","XZMDK54W-1","XZMDK54W-1","LED RED CLEAR 0805 SMD","","0","0.44000","$0.88"
"14","10","CL21B104KACNFNC","CL21B104KACNFNC","CAP CER 0.1UF 25V X7R 0805","","0","0.03300","$0.33"
"15","10","CL21A106KQFNNNE","CL21A106KQFNNNE","CAP CER 10UF 6.3V X5R 0805","","0","0.12100","$1.21"
"16","10","CL10A105KQ8NNNC","CL10A105KQ8NNNC","CAP CER 1UF 6.3V X5R 0603","","0","0.03500","$0.35"
"17","10","CL10C220JB8NFNC","CL10C220JB8NFNC","CAP CER 22PF 50V C0G/NP0 0603","","0","0.03600","$0.36"
"18","10","RC0603JR-0710KL","RC0603JR-0710KL","RES SMD 10K OHM 5% 1/10W 0603","","0","0.01100","$0.11"
"19","10","RC0603JR-07100KL","RC0603JR-07100KL","RES SMD 100K OHM 5% 1/10W 0603","","0","0.01100","$0.11"
"20","10","RC0603JR-071KL","RC0603JR-071KL","RES SMD 1K OHM 5% 1/10W 0603","","0","0.01100","$0.11"
"21","10","RC0603JR-072K2L","RC0603JR-072K2L","RES SMD 2.2K OHM 5% 1/10W 0603","","0","0.01100","$0.11"
"22","2","EVQ-P7A01P","EVQ-P7A01P","SWITCH TACTILE SPST-NO 0.05A 12V","","0","0.30000","$0.60"
"23","2","PCM12SMTR","PCM12SMTR","SWITCH SLIDE SPDT 300MA 6V","","0","0.91000","$1.82"
"24","1","FC-135 32.7680KA-A5","FC-135 32.7680KA-A5","CRYSTAL 32.7680 KHZ 12.5PF SMD","","0","0.59000","$0.59"
"25","3","430182130816","430182130816","SWITCH TACTILE SPST-NO 0.05A 12V","","0","0.49000","$1.47"
"26","1","2908-05WB-MG","2908-05WB-MG","CONN MICRO SD CARD PUSH-PUSH R/A","","0","3.60000","$3.60"
"27","1","AD8400ARZ1","AD8400ARZ1","IC DGTL POT 8BIT 1K 1CH 8-SOIC","","0","3.35000","$3.35"
"","","","","","","","Subtotal","$26.52"